date(yyyy/mm/dd), Estimated_unimpaired_flow_into_HetchHetchy(cubic_meters_per_second)
1981/06/02, 112.11
1981/06/03, 93.69
1981/06/04, 91.14
1981/06/05, 102.73
1981/06/06, 114.00
1981/06/07, 121.99
1981/06/08, 98.31
1981/06/09, 91.23
1981/06/10, 77.75
1981/06/11, 59.82
1981/06/12, 44.15
1981/06/13, 35.19
1981/06/14, 28.60
1981/06/15, 22.65
1981/06/16, 22.65
1981/06/17, 22.35
1981/06/18, 24.92
1981/06/19, 26.90
1981/06/20, 28.31
1981/06/21, 29.16
1981/06/22, 24.51
1981/06/23, 22.72
1981/06/24, 22.07
1981/06/25, 19.51
1981/06/26, 17.50
1981/06/27, 14.10
1981/06/28, 11.02
1981/06/29, 10.19
1981/06/30, 16.70
1981/07/01, 19.93
1981/07/02, 17.70
1981/07/03, 13.73
1981/07/04, 10.25
1981/07/05,  9.35
1981/07/06, 10.16
1981/07/07, 11.33
1981/07/08, 11.47
1981/07/09, 10.90
1981/07/10,  8.47
1981/07/11,  7.81
1981/07/12,  6.80
1981/07/13,  6.03
1981/07/14,  4.95
1981/07/15,  5.07
1981/07/16,  5.46
1981/07/17,  5.07
1981/07/18,  5.07
1981/07/19,  5.27
1981/07/20,  5.07
1981/07/21,  4.90
1981/07/22,  4.11
1981/07/23,  3.91
1981/07/24,  4.50
1981/07/25,  4.50
1981/07/26,  4.90
1981/07/27,  4.70
1981/07/28,  3.96
1981/07/29,  4.13
1981/07/30,  3.77
1981/07/31,  2.97
1981/08/01,  3.40
1981/08/02,  3.00
1981/08/03,  3.57
1981/08/04,  3.00
1981/08/05,  3.57
1981/08/06,  3.57
1981/08/07,  4.13
1981/08/08,  3.57
1981/08/09,  3.20
1981/08/10,  3.00
1981/08/11,  3.00
1981/08/12,  2.63
1981/08/13,  2.63
1981/08/14,  2.83
1981/08/15,  2.63
1981/08/16,  2.83
1981/08/17,  2.83
1981/08/18,  2.83
1981/08/19,  3.00
1981/08/20,  2.63
1981/08/21,  3.40
1981/08/22,  3.00
1981/08/23,  1.93
1981/08/24,  1.93
1981/08/25,  1.93
1981/08/26,  2.10
1981/08/27,  1.73
1981/08/28,  1.81
1981/08/29,  2.10
1981/08/30,  2.10
1981/08/31,  2.10
1981/09/01,  2.10
1981/09/02,  2.01
1981/09/03,  2.10
1981/09/04,  1.93
1981/09/05,  1.73
1981/09/06,  1.73
1981/09/07,  1.81
1981/09/08,  1.85
1981/09/09,  2.43
1981/09/10,  2.43
1981/09/11,  2.63
1981/09/12,  2.83
1981/09/13,  2.43
1981/09/14,  2.63
1981/09/15,  2.43
1981/09/16,  2.27
1981/09/17,  2.07
1981/09/18,  1.73
1981/09/19,  1.93
1981/09/20,  1.81
1981/09/21,  1.73
1981/09/22,  1.81
1981/09/23,  2.01
1981/09/24,  2.01
1981/09/25,  1.64
1981/09/26,  2.07
1981/09/27,  2.27
1981/09/28,  2.07
1981/09/29,  2.43
1981/09/30,  2.27
1981/10/01,  0.85
1981/10/02,  1.07
1981/10/03,  1.36
1981/10/04,  1.42
1981/10/05,  1.44
1981/10/06,  1.44
1981/10/07,  2.55
1981/10/08,  1.93
1981/10/09,  1.80
1981/10/10,  2.58
1981/10/11,  4.25
1981/10/12,  5.66
1981/10/13,  5.66
1981/10/14,  5.66
1981/10/15,  4.81
1981/10/16,  4.11
1981/10/17,  4.19
1981/10/18,  4.28
1981/10/19,  4.42
1981/10/20,  3.80
1981/10/21,  5.66
1981/10/22,  5.38
1981/10/23,  4.53
1981/10/24,  5.66
1981/10/25,  5.38
1981/10/26,  4.46
1981/10/27,  4.46
1981/10/28,  6.74
1981/10/29, 13.19
1981/10/30, 13.39
1981/10/31, 12.46
1981/11/01, 12.91
1981/11/02, 13.28
1981/11/03, 14.52
1981/11/04, 13.17
1981/11/05, 13.17
1981/11/06, 11.00
1981/11/07, 10.73
1981/11/08, 10.08
1981/11/09,  8.86
1981/11/10,  8.27
1981/11/11,  7.72
1981/11/12,  7.74
1981/11/13, 26.44
1981/11/14, 114.38
1981/11/15, 64.27
1981/11/16, 44.18
1981/11/17, 36.81
1981/11/18, 31.99
1981/11/19, 28.88
1981/11/20, 21.52
1981/11/21, 16.99
1981/11/22, 24.92
1981/11/23, 27.46
1981/11/24, 25.48
1981/11/25, 29.45
1981/11/26, 23.78
1981/11/27, 21.52
1981/11/28, 20.39
1981/11/29, 15.29
1981/11/30, 13.31
1981/12/01, 10.48
1981/12/02, 12.46
1981/12/03, 12.17
1981/12/04, 11.04
1981/12/05, 12.46
1981/12/06, 10.48
1981/12/07, 11.04
1981/12/08, 12.46
1981/12/09, 11.33
1981/12/10,  9.34
1981/12/11,  8.78
1981/12/12,  8.21
1981/12/13,  8.78
1981/12/14,  9.34
1981/12/15, 10.48
1981/12/16, 11.04
1981/12/17, 12.17
1981/12/18, 11.33
1981/12/19, 18.59
1981/12/20, 113.53
1981/12/21, 183.18
1981/12/22, 66.07
1981/12/23, 38.78
1981/12/24, 28.06
1981/12/25, 23.22
1981/12/26, 22.93
1981/12/27, 21.80
1981/12/28, 21.80
1981/12/29, 20.95
1981/12/30, 31.99
1981/12/31, 27.75
1982/01/01, 23.22
1982/01/02, 23.22
1982/01/03, 20.95
1982/01/04, 19.82
1982/01/05, 23.22
1982/01/06, 27.46
1982/01/07, 21.99
1982/01/08, 20.67
1982/01/09, 19.65
1982/01/10, 18.88
1982/01/11, 18.12
1982/01/12, 17.42
1982/01/13, 17.37
1982/01/14, 17.31
1982/01/15, 17.31
1982/01/16, 17.28
1982/01/17, 16.42
1982/01/18, 15.66
1982/01/19, 15.57
1982/01/20, 15.29
1982/01/21, 14.94
1982/01/22, 14.94
1982/01/23, 15.01
1982/01/24, 14.38
1982/01/25, 18.12
1982/01/26, 18.69
1982/01/27, 21.80
1982/01/28, 16.99
1982/01/29, 16.14
1982/01/30, 14.89
1982/01/31, 14.04
1982/02/01, 13.26
1982/02/02, 13.17
1982/02/03, 13.17
1982/02/04, 13.14
1982/02/05, 12.71
1982/02/06, 12.46
1982/02/07, 11.78
1982/02/08, 11.86
1982/02/09, 11.66
1982/02/10, 11.58
1982/02/11, 11.38
1982/02/12, 11.86
1982/02/13, 12.63
1982/02/14, 40.44
1982/02/15, 152.42
1982/02/16, 155.15
1982/02/17, 144.15
1982/02/18, 62.70
1982/02/19, 51.81
1982/02/20, 47.28
1982/02/21, 47.85
1982/02/22, 48.98
1982/02/23, 43.39
1982/02/24, 32.46
1982/02/25, 28.06
1982/02/26, 25.20
1982/02/27, 23.43
1982/02/28, 22.65
1982/03/01, 23.07
1982/03/02, 24.35
1982/03/03, 23.78
1982/03/04, 23.78
1982/03/05, 23.22
1982/03/06, 20.95
1982/03/07, 19.25
1982/03/08, 18.69
1982/03/09, 16.61
1982/03/10, 24.66
1982/03/11, 37.66
1982/03/12, 30.58
1982/03/13, 25.20
1982/03/14, 23.78
1982/03/15, 20.95
1982/03/16, 20.67
1982/03/17, 18.69
1982/03/18, 18.69
1982/03/19, 16.99
1982/03/20, 17.27
1982/03/21, 16.42
1982/03/22, 18.12
1982/03/23, 16.14
1982/03/24, 18.40
1982/03/25, 19.25
1982/03/26, 19.25
1982/03/27, 20.39
1982/03/28, 21.52
1982/03/29, 20.39
1982/03/30, 20.67
1982/03/31, 19.82
1982/04/01, 20.67
1982/04/02, 20.39
1982/04/03, 20.95
1982/04/04, 20.95
1982/04/05, 21.52
1982/04/06, 21.52
1982/04/07, 18.40
1982/04/08, 16.99
1982/04/09, 15.18
1982/04/10, 19.86
1982/04/11, 139.20
1982/04/12, 314.99
1982/04/13, 146.34
1982/04/14, 96.33
1982/04/15, 89.39
1982/04/16, 67.38
1982/04/17, 59.46
1982/04/18, 55.78
1982/04/19, 54.08
1982/04/20, 66.25
1982/04/21, 70.78
1982/04/22, 77.01
1982/04/23, 82.39
1982/04/24, 90.60
1982/04/25, 85.79
1982/04/26, 84.37
1982/04/27, 83.24
1982/04/28, 91.17
1982/04/29, 110.14
1982/04/30, 99.66
1982/05/01, 112.81
1982/05/02, 127.23
1982/05/03, 138.44
1982/05/04, 162.39
1982/05/05, 167.23
1982/05/06, 154.59
1982/05/07, 150.62
1982/05/08, 161.49
1982/05/09, 136.81
1982/05/10, 109.95
1982/05/11, 76.91
1982/05/12, 63.54
1982/05/13, 65.62
1982/05/14, 84.39
1982/05/15, 89.50
1982/05/16, 103.24
1982/05/17, 129.29
1982/05/18, 153.38
1982/05/19, 154.08
1982/05/20, 150.13
1982/05/21, 164.40
1982/05/22, 188.59
1982/05/23, 206.70
1982/05/24, 225.93
1982/05/25, 236.13
1982/05/26, 256.23
1982/05/27, 261.61
1982/05/28, 274.63
1982/05/29, 200.84
1982/05/30, 162.69
1982/05/31, 164.21
1982/06/01, 160.82
1982/06/02, 146.38
1982/06/03, 145.60
1982/06/04, 118.98
1982/06/05, 102.50
1982/06/06, 92.30
1982/06/07, 84.94
1982/06/08, 99.38
1982/06/09, 125.43
1982/06/10, 183.18
1982/06/11, 197.06
1982/06/12, 202.72
1982/06/13, 178.09
1982/06/14, 157.98
1982/06/15, 161.87
1982/06/16, 212.89
1982/06/17, 257.65
1982/06/18, 304.36
1982/06/19, 242.92
1982/06/20, 204.42
1982/06/21, 190.54
1982/06/22, 164.50
1982/06/23, 156.57
1982/06/24, 180.92
1982/06/25, 179.50
1982/06/26, 154.23
1982/06/27, 191.96
1982/06/28, 195.29
1982/06/29, 228.96
1982/06/30, 182.47
1982/07/01, 114.38
1982/07/02, 100.79
1982/07/03, 107.78
1982/07/04, 102.21
1982/07/05, 97.11
1982/07/06, 99.09
1982/07/07, 117.78
1982/07/08, 117.50
1982/07/09, 122.03
1982/07/10, 125.82
1982/07/11, 134.77
1982/07/12, 140.71
1982/07/13, 135.90
1982/07/14, 118.06
1982/07/15, 113.25
1982/07/16, 114.10
1982/07/17, 109.57
1982/07/18, 87.20
1982/07/19, 82.75
1982/07/20, 88.90
1982/07/21, 85.76
1982/07/22, 82.65
1982/07/23, 81.26
1982/07/24, 79.56
1982/07/25, 79.56
1982/07/26, 83.52
1982/07/27, 85.50
1982/07/28, 74.44
1982/07/29, 66.53
1982/07/30, 66.25
1982/07/31, 51.76
1982/08/01, 44.46
1982/08/02, 39.64
1982/08/03, 35.34
1982/08/04, 33.83
1982/08/05, 32.53
1982/08/06, 31.85
1982/08/07, 31.34
1982/08/08, 37.09
1982/08/09, 30.01
1982/08/10, 29.51
1982/08/11, 28.54
1982/08/12, 24.36
1982/08/13, 23.05
1982/08/14, 19.70
1982/08/15, 19.25
1982/08/16, 18.49
1982/08/17, 16.97
1982/08/18, 17.27
1982/08/19, 17.27
1982/08/20, 17.55
1982/08/21, 16.93
1982/08/22, 25.20
1982/08/23, 28.31
1982/08/24, 32.84
1982/08/25, 49.55
1982/08/26, 25.41
1982/08/27, 22.58
1982/08/28, 19.87
1982/08/29, 21.80
1982/08/30, 27.75
1982/08/31, 16.75
1982/09/01, 13.37
1982/09/02, 13.40
1982/09/03, 10.91
1982/09/04, 11.00
1982/09/05,  8.64
1982/09/06,  9.63
1982/09/07,  7.93
1982/09/08,  9.06
1982/09/09,  8.21
1982/09/10, 10.48
1982/09/11,  8.21
1982/09/12,  8.20
1982/09/13,  8.27
1982/09/14,  5.95
1982/09/15,  7.08
1982/09/16,  4.95
1982/09/17,  5.12
1982/09/18,  5.15
1982/09/19,  4.67
1982/09/20,  4.95
1982/09/21,  5.31
1982/09/22,  5.39
1982/09/23,  5.55
1982/09/24,  8.40
1982/09/25, 72.99
1982/09/26, 242.08
1982/09/27, 164.82
1982/09/28, 57.62
1982/09/29, 35.44
1982/09/30, 24.22
1982/10/01, 22.65
1982/10/02, 18.97
1982/10/03, 18.12
1982/10/04, 15.86
1982/10/05, 14.44
1982/10/06, 12.74
1982/10/07, 12.74
1982/10/08, 11.04
1982/10/09, 10.19
1982/10/10, 10.19
1982/10/11,  9.34
1982/10/12, 10.19
1982/10/13,  7.50
1982/10/14,  7.42
1982/10/15,  7.02
1982/10/16,  6.29
1982/10/17,  6.17
1982/10/18,  5.89
1982/10/19,  6.17
1982/10/20,  5.66
1982/10/21,  5.32
1982/10/22,  6.39
1982/10/23, 24.35
1982/10/24, 44.19
1982/10/25, 65.69
1982/10/26, 165.35
1982/10/27, 105.04
1982/10/28, 57.47
1982/10/29, 33.60
1982/10/30, 50.35
1982/10/31, 82.39
1982/11/01, 47.00
1982/11/02, 38.51
1982/11/03, 31.99
1982/11/04, 26.33
1982/11/05, 24.92
1982/11/06, 22.37
1982/11/07, 22.37
1982/11/08, 19.82
1982/11/09, 19.82
1982/11/10, 19.82
1982/11/11, 18.97
1982/11/12, 18.12
1982/11/13, 18.40
1982/11/14, 18.97
1982/11/15, 18.40
1982/11/16, 18.12
1982/11/17, 16.14
1982/11/18, 17.43
1982/11/19, 54.93
1982/11/20, 32.84
1982/11/21, 26.90
1982/11/22, 23.78
1982/11/23, 25.76
1982/11/24, 23.22
1982/11/25, 20.67
1982/11/26, 20.10
1982/11/27, 19.25
1982/11/28, 18.04
1982/11/29, 22.65
1982/11/30, 29.73
1982/12/01, 29.73
1982/12/02, 25.76
1982/12/03, 24.38
1982/12/04, 24.09
1982/12/05, 23.22
1982/12/06, 22.00
1982/12/07, 22.65
1982/12/08, 25.48
1982/12/09, 24.92
1982/12/10, 25.76
1982/12/11, 20.95
1982/12/12, 17.55
1982/12/13, 14.89
1982/12/14, 14.89
1982/12/15, 16.14
1982/12/16, 15.29
1982/12/17, 15.29
1982/12/18, 14.41
1982/12/19, 14.81
1982/12/20, 16.02
1982/12/21, 22.92
1982/12/22, 36.81
1982/12/23, 63.14
1982/12/24, 35.67
1982/12/25, 29.45
1982/12/26, 24.09
1982/12/27, 22.28
1982/12/28, 21.23
1982/12/29, 19.93
1982/12/30, 17.81
1982/12/31, 16.79
1983/01/01, 16.02
1983/01/02, 15.66
1983/01/03, 15.29
1983/01/04, 14.61
1983/01/05, 14.41
1983/01/06, 14.52
1983/01/07, 14.61
1983/01/08, 14.33
1983/01/09, 14.41
1983/01/10, 14.72
1983/01/11, 14.89
1983/01/12, 15.38
1983/01/13, 15.27
1983/01/14, 15.51
1983/01/15, 15.37
1983/01/16, 15.39
1983/01/17, 15.34
1983/01/18, 15.41
1983/01/19, 15.29
1983/01/20, 15.01
1983/01/21, 15.46
1983/01/22, 18.29
1983/01/23, 28.60
1983/01/24, 32.56
1983/01/25, 41.62
1983/01/26, 32.56
1983/01/27, 28.03
1983/01/28, 24.63
1983/01/29, 22.08
1983/01/30, 19.82
1983/01/31, 18.12
1983/02/01, 18.12
1983/02/02, 16.99
1983/02/03, 14.44
1983/02/04, 16.70
1983/02/05, 11.89
1983/02/06, 15.94
1983/02/07, 22.08
1983/02/08, 29.45
1983/02/09, 23.22
1983/02/10, 20.67
1983/02/11, 18.40
1983/02/12, 26.05
1983/02/13, 27.18
1983/02/14, 27.18
1983/02/15, 23.78
1983/02/16, 20.95
1983/02/17, 18.41
1983/02/18, 18.52
1983/02/19, 18.32
1983/02/20, 18.04
1983/02/21, 17.84
1983/02/22, 18.32
1983/02/23, 18.60
1983/02/24, 18.77
1983/02/25, 20.10
1983/02/26, 24.63
1983/02/27, 27.18
1983/02/28, 24.92
1983/03/01, 49.26
1983/03/02, 49.26
1983/03/03, 35.96
1983/03/04, 27.18
1983/03/05, 24.92
1983/03/06, 22.37
1983/03/07, 22.65
1983/03/08, 23.78
1983/03/09, 24.07
1983/03/10, 24.92
1983/03/11, 28.03
1983/03/12, 34.26
1983/03/13, 43.04
1983/03/14, 72.76
1983/03/15, 52.10
1983/03/16, 38.22
1983/03/17, 31.71
1983/03/18, 28.03
1983/03/19, 22.57
1983/03/20, 20.51
1983/03/21, 20.10
1983/03/22, 20.67
1983/03/23, 21.52
1983/03/24, 19.82
1983/03/25, 19.82
1983/03/26, 19.25
1983/03/27, 20.10
1983/03/28, 18.97
1983/03/29, 17.92
1983/03/30, 20.10
1983/03/31, 24.63
1983/04/01, 21.80
1983/04/02, 23.98
1983/04/03, 32.84
1983/04/04, 27.75
1983/04/05, 22.22
1983/04/06, 20.10
1983/04/07, 16.14
1983/04/08, 15.86
1983/04/09, 18.40
1983/04/10, 19.82
1983/04/11, 20.73
1983/04/12, 23.78
1983/04/13, 24.63
1983/04/14, 22.37
1983/04/15, 17.16
1983/04/16, 14.61
1983/04/17, 15.47
1983/04/18, 16.92
1983/04/19, 18.91
1983/04/20, 23.37
1983/04/21, 25.23
1983/04/22, 25.31
1983/04/23, 35.67
1983/04/24, 32.84
1983/04/25, 31.71
1983/04/26, 28.88
1983/04/27, 26.90
1983/04/28, 25.48
1983/04/29, 31.99
1983/04/30, 28.60
1983/05/01, 26.93
1983/05/02, 25.76
1983/05/03, 28.03
1983/05/04, 35.67
1983/05/05, 33.98
1983/05/06, 27.65
1983/05/07, 25.48
1983/05/08, 28.60
1983/05/09, 37.37
1983/05/10, 47.85
1983/05/11, 45.30
1983/05/12, 31.99
1983/05/13, 32.84
1983/05/14, 40.71
1983/05/15, 50.62
1983/05/16, 61.55
1983/05/17, 66.57
1983/05/18, 69.59
1983/05/19, 85.55
1983/05/20, 107.63
1983/05/21, 126.43
1983/05/22, 163.92
1983/05/23, 196.59
1983/05/24, 225.04
1983/05/25, 238.22
1983/05/26, 275.91
1983/05/27, 296.03
1983/05/28, 306.54
1983/05/29, 320.66
1983/05/30, 327.87
1983/05/31, 292.56
1983/06/01, 262.62
1983/06/02, 226.04
1983/06/03, 182.50
1983/06/04, 189.43
1983/06/05, 200.98
1983/06/06, 229.62
1983/06/07, 240.66
1983/06/08, 248.76
1983/06/09, 246.32
1983/06/10, 251.50
1983/06/11, 282.27
1983/06/12, 317.69
1983/06/13, 232.23
1983/06/14, 221.97
1983/06/15, 250.48
1983/06/16, 283.48
1983/06/17, 299.82
1983/06/18, 337.35
1983/06/19, 317.61
1983/06/20, 270.11
1983/06/21, 234.77
1983/06/22, 242.16
1983/06/23, 285.18
1983/06/24, 312.28
1983/06/25, 273.20
1983/06/26, 254.44
1983/06/27, 269.94
1983/06/28, 256.38
1983/06/29, 263.50
1983/06/30, 270.95
1983/07/01, 248.87
1983/07/02, 240.09
1983/07/03, 273.78
1983/07/04, 285.17
1983/07/05, 292.75
1983/07/06, 326.39
1983/07/07, 332.78
1983/07/08, 247.85
1983/07/09, 134.20
1983/07/10, 102.21
1983/07/11, 164.37
1983/07/12, 212.32
1983/07/13, 223.85
1983/07/14, 231.47
1983/07/15, 216.46
1983/07/16, 172.06
1983/07/17, 139.58
1983/07/18, 125.89
1983/07/19, 113.82
1983/07/20, 105.32
1983/07/21, 108.01
1983/07/22, 119.07
1983/07/23, 132.12
1983/07/24, 116.57
1983/07/25, 107.87
1983/07/26, 101.36
1983/07/27, 98.70
1983/07/28, 105.58
1983/07/29, 120.82
1983/07/30, 119.45
1983/07/31, 117.47
1983/08/01, 116.03
1983/08/02, 105.89
1983/08/03, 93.15
1983/08/04, 84.37
1983/08/05, 78.14
1983/08/06, 73.61
1983/08/07, 79.84
1983/08/08, 92.30
1983/08/09, 105.32
1983/08/10, 107.87
1983/08/11, 72.22
1983/08/12, 48.41
1983/08/13, 56.63
1983/08/14, 59.08
1983/08/15, 81.54
1983/08/16, 76.73
1983/08/17, 55.49
1983/08/18, 50.40
1983/08/19, 62.74
1983/08/20, 86.22
1983/08/21, 51.74
1983/08/22, 40.34
1983/08/23, 31.50
1983/08/24, 30.96
1983/08/25, 26.94
1983/08/26, 25.07
1983/08/27, 22.55
1983/08/28, 20.87
1983/08/29, 19.92
1983/08/30, 17.08
1983/08/31, 22.71
1983/09/01, 43.32
1983/09/02, 44.73
1983/09/03, 34.54
1983/09/04, 25.48
1983/09/05, 21.52
1983/09/06, 19.81
1983/09/07, 20.95
1983/09/08, 19.25
1983/09/09, 18.40
1983/09/10, 15.57
1983/09/11, 14.41
1983/09/12, 12.95
1983/09/13, 13.31
1983/09/14, 12.74
1983/09/15, 11.61
1983/09/16, 11.61
1983/09/17, 11.61
1983/09/18, 10.19
1983/09/19,  9.12
1983/09/20,  9.12
1983/09/21,  8.92
1983/09/22,  9.71
1983/09/23, 13.31
1983/09/24, 12.74
1983/09/25,  9.06
1983/09/26,  9.34
1983/09/27,  9.34
1983/09/28, 10.19
1983/09/29, 10.19
1983/09/30, 18.40
1983/10/01, 20.76
1983/10/02, 23.05
1983/10/03, 22.27
1983/10/04, 22.94
1983/10/05, 20.19
1983/10/06, 17.48
1983/10/07, 14.84
1983/10/08, 16.36
1983/10/09, 14.38
1983/10/10, 15.01
1983/10/11, 12.46
1983/10/12, 11.33
1983/10/13,  9.74
1983/10/14,  7.90
1983/10/15,  7.30
1983/10/16,  7.16
1983/10/17,  6.99
1983/10/18,  7.24
1983/10/19,  7.21
1983/10/20,  7.24
1983/10/21,  7.33
1983/10/22,  7.21
1983/10/23,  6.37
1983/10/24,  6.51
1983/10/25,  6.37
1983/10/26,  6.06
1983/10/27,  5.89
1983/10/28,  5.66
1983/10/29,  5.66
1983/10/30,  5.89
1983/10/31,  6.99
1983/11/01,  8.10
1983/11/02, 12.97
1983/11/03, 12.15
1983/11/04, 10.73
1983/11/05,  9.31
1983/11/06,  7.62
1983/11/07,  9.60
1983/11/08, 10.45
1983/11/09,  9.54
1983/11/10, 11.33
1983/11/11, 28.09
1983/11/12, 79.28
1983/11/13, 48.41
1983/11/14, 35.67
1983/11/15, 30.01
1983/11/16, 22.89
1983/11/17, 51.81
1983/11/18, 102.49
1983/11/19, 33.76
1983/11/20, 107.59
1983/11/21, 57.29
1983/11/22, 31.05
1983/11/23, 31.02
1983/11/24, 78.43
1983/11/25, 76.16
1983/11/26, 46.72
1983/11/27, 34.99
1983/11/28, 28.51
1983/11/29, 25.63
1983/11/30, 22.97
1983/12/01, 22.28
1983/12/02, 20.33
1983/12/03, 21.72
1983/12/04, 21.72
1983/12/05, 21.43
1983/12/06, 21.72
1983/12/07, 20.89
1983/12/08, 19.76
1983/12/09, 21.18
1983/12/10, 30.46
1983/12/11, 29.90
1983/12/12, 31.88
1983/12/13, 24.83
1983/12/14, 23.70
1983/12/15, 26.53
1983/12/16, 25.11
1983/12/17, 25.96
1983/12/18, 22.00
1983/12/19, 20.33
1983/12/20, 18.63
1983/12/21, 17.18
1983/12/22, 16.36
1983/12/23, 18.09
1983/12/24, 20.61
1983/12/25, 97.65
1983/12/26, 97.08
1983/12/27, 83.52
1983/12/28, 50.23
1983/12/29, 30.64
1983/12/30, 35.96
1983/12/31, 53.34
1984/01/01, 38.65
1984/01/02, 30.46
1984/01/03, 28.31
1984/01/04, 28.79
1984/01/05, 28.31
1984/01/06, 26.25
1984/01/07, 25.40
1984/01/08, 25.68
1984/01/09, 21.78
1984/01/10, 19.87
1984/01/11, 18.86
1984/01/12, 17.21
1984/01/13, 16.34
1984/01/14, 15.71
1984/01/15, 15.06
1984/01/16, 14.16
1984/01/17, 14.16
1984/01/18, 14.44
1984/01/19, 14.36
1984/01/20, 14.72
1984/01/21, 14.72
1984/01/22, 14.72
1984/01/23, 14.15
1984/01/24, 13.96
1984/01/25, 14.16
1984/01/26, 14.34
1984/01/27, 14.36
1984/01/28, 14.36
1984/01/29, 14.27
1984/01/30, 14.33
1984/01/31, 13.96
1984/02/01, 14.56
1984/02/02, 14.74
1984/02/03, 14.83
1984/02/04, 14.77
1984/02/05, 15.71
1984/02/06, 15.86
1984/02/07, 15.86
1984/02/08, 15.86
1984/02/09, 15.86
1984/02/10, 16.51
1984/02/11, 16.34
1984/02/12, 16.34
1984/02/13, 17.33
1984/02/14, 17.33
1984/02/15, 17.53
1984/02/16, 29.36
1984/02/17, 21.18
1984/02/18, 16.34
1984/02/19, 12.97
1984/02/20, 12.43
1984/02/21, 11.58
1984/02/22, 11.33
1984/02/23, 10.73
1984/02/24,  8.75
1984/02/25,  9.03
1984/02/26, 10.73
1984/02/27, 12.50
1984/02/28, 13.82
1984/02/29, 14.99
1984/03/01, 14.99
1984/03/02, 15.03
1984/03/03, 14.97
1984/03/04, 15.71
1984/03/05, 16.03
1984/03/06, 16.51
1984/03/07, 17.67
1984/03/08, 17.75
1984/03/09, 20.61
1984/03/10, 21.09
1984/03/11, 23.98
1984/03/12, 22.72
1984/03/13, 22.72
1984/03/14, 31.60
1984/03/15, 25.26
1984/03/16, 22.71
1984/03/17, 21.40
1984/03/18, 20.22
1984/03/19, 20.22
1984/03/20, 22.72
1984/03/21, 30.22
1984/03/22, 30.19
1984/03/23, 30.24
1984/03/24, 32.69
1984/03/25, 32.66
1984/03/26, 35.24
1984/03/27, 47.83
1984/03/28, 42.88
1984/03/29, 37.85
1984/03/30, 32.83
1984/03/31, 30.32
1984/04/01, 28.17
1984/04/02, 24.01
1984/04/03, 23.15
1984/04/04, 23.15
1984/04/05, 28.09
1984/04/06, 26.25
1984/04/07, 28.03
1984/04/08, 33.08
1984/04/09, 35.62
1984/04/10, 28.09
1984/04/11, 43.22
1984/04/12, 35.67
1984/04/13, 35.67
1984/04/14, 45.83
1984/04/15, 60.11
1984/04/16, 71.58
1984/04/17, 82.18
1984/04/18, 72.21
1984/04/19, 67.20
1984/04/20, 56.72
1984/04/21, 43.40
1984/04/22, 35.50
1984/04/23, 43.25
1984/04/24, 56.18
1984/04/25, 66.64
1984/04/26, 53.68
1984/04/27, 43.20
1984/04/28, 35.47
1984/04/29, 31.28
1984/04/30, 28.88
1984/05/01, 38.12
1984/05/02, 44.11
1984/05/03, 46.74
1984/05/04, 75.23
1984/05/05, 78.74
1984/05/06, 70.23
1984/05/07, 73.15
1984/05/08, 93.92
1984/05/09, 120.87
1984/05/10, 147.71
1984/05/11, 163.34
1984/05/12, 182.05
1984/05/13, 214.62
1984/05/14, 222.85
1984/05/15, 194.31
1984/05/16, 142.28
1984/05/17, 92.31
1984/05/18, 96.61
1984/05/19, 125.75
1984/05/20, 176.33
1984/05/21, 225.17
1984/05/22, 218.97
1984/05/23, 226.50
1984/05/24, 240.15
1984/05/25, 242.10
1984/05/26, 210.36
1984/05/27, 194.02
1984/05/28, 205.35
1984/05/29, 220.39
1984/05/30, 227.72
1984/05/31, 205.44
1984/06/01, 200.91
1984/06/02, 138.12
1984/06/03, 120.80
1984/06/04, 136.14
1984/06/05, 216.17
1984/06/06, 121.35
1984/06/07, 91.17
1984/06/08, 78.43
1984/06/09, 89.19
1984/06/10, 93.40
1984/06/11, 84.09
1984/06/12, 83.81
1984/06/13, 83.52
1984/06/14, 95.39
1984/06/15, 91.14
1984/06/16, 90.29
1984/06/17, 116.93
1984/06/18, 133.07
1984/06/19, 106.74
1984/06/20, 109.00
1984/06/21, 92.55
1984/06/22, 87.20
1984/06/23, 90.86
1984/06/24, 98.75
1984/06/25, 93.97
1984/06/26, 93.97
1984/06/27, 86.64
1984/06/28, 95.95
1984/06/29, 101.30
1984/06/30, 93.40
1984/07/01, 77.04
1984/07/02, 71.12
1984/07/03, 68.29
1984/07/04, 65.46
1984/07/05, 61.81
1984/07/06, 59.26
1984/07/07, 56.63
1984/07/08, 50.71
1984/07/09, 41.51
1984/07/10, 32.89
1984/07/11, 30.70
1984/07/12, 27.42
1984/07/13, 26.78
1984/07/14, 27.27
1984/07/15, 24.71
1984/07/16, 27.43
1984/07/17, 32.84
1984/07/18, 37.94
1984/07/19, 40.49
1984/07/20, 35.67
1984/07/21, 31.14
1984/07/22, 24.19
1984/07/23, 22.00
1984/07/24, 18.63
1984/07/25, 18.63
1984/07/26, 17.21
1984/07/27, 16.08
1984/07/28, 15.80
1984/07/29, 15.80
1984/07/30, 13.20
1984/07/31, 13.38
1984/08/01, 12.85
1984/08/02, 13.57
1984/08/03, 13.38
1984/08/04, 11.58
1984/08/05, 10.79
1984/08/06, 11.13
